"ï..Year","AphiaID","Species.Latin.Name","Species_Latin_Name","Area","Country","AMS_Catch","BMS_Catch"
2021,105711,"Rajidae","Rajidae","27_12_C","FR",1.815,"NULL"
2021,105711,"Rajidae","Rajidae","27_4_A","FR",0.78,"NULL"
2021,105711,"Rajidae","Rajidae","27_5_B_1_B","FR",4.589,"NULL"
2021,105711,"Rajidae","Rajidae","27_6_A","FR",7.495,"NULL"
2021,105711,"Rajidae","Rajidae","27_7_D","FR",283.242,"NULL"
2021,105711,"Rajidae","Rajidae","27_7_E","FR",1.451,"NULL"
2021,105711,"Rajidae","Rajidae","27_7_F","FR",2.104,"NULL"
2021,105711,"Rajidae","Rajidae","27_7_G","FR",0.553,"NULL"
2021,105711,"Rajidae","Rajidae","27_7_H","FR",3.372,"NULL"
2021,105711,"Rajidae","Rajidae","27_7_J_2","FR",0.113,"NULL"
2021,105711,"Rajidae","Rajidae","27_8_A","FR",5.301,"NULL"
2021,105711,"Rajidae","Rajidae","27_8_B","FR",14.435,"NULL"
2021,105711,"Rajidae","Rajidae","27_8_C","FR",0.03,"NULL"
2021,105711,"Rajidae","Rajidae","27_8_D_2","FR",0.029,"NULL"
2021,105801,"Prionace glauca","Prionace glauca","27_12_C","FR",0.001,"NULL"
2021,105801,"Prionace glauca","Prionace glauca","27_7_E","FR",2.725,"NULL"
2021,105801,"Prionace glauca","Prionace glauca","27_7_F","FR",1.165,"NULL"
2021,105801,"Prionace glauca","Prionace glauca","27_7_G","FR",0.393,"NULL"
2021,105801,"Prionace glauca","Prionace glauca","27_7_H","FR",0.755,"NULL"
2021,105801,"Prionace glauca","Prionace glauca","27_7_J_2","FR",0.469,"NULL"
2021,105801,"Prionace glauca","Prionace glauca","27_8_A","FR",19.167,"NULL"
2021,105801,"Prionace glauca","Prionace glauca","27_8_B","FR",16.423,"NULL"
2021,105801,"Prionace glauca","Prionace glauca","27_8_C","FR",1.956,"NULL"
2021,105801,"Prionace glauca","Prionace glauca","27_8_D_2","FR",0.32,"NULL"
2021,105814,"Scyliorhinus canicula","Scyliorhinus canicula","27_12_C","FR",1.091,"NULL"
2021,105814,"Scyliorhinus canicula","Scyliorhinus canicula","27_4_A","FR",0.004,"NULL"
2021,105814,"Scyliorhinus canicula","Scyliorhinus canicula","27_4_B","FR",1.46,"NULL"
2021,105814,"Scyliorhinus canicula","Scyliorhinus canicula","27_4_C","FR",76.229,"NULL"
2021,105814,"Scyliorhinus canicula","Scyliorhinus canicula","27_5_B_1_B","FR",0.005,"NULL"
2021,105814,"Scyliorhinus canicula","Scyliorhinus canicula","27_6_A","FR",2.078,"NULL"
2021,105814,"Scyliorhinus canicula","Scyliorhinus canicula","27_7_A","FR",0.01,"NULL"
2021,105814,"Scyliorhinus canicula","Scyliorhinus canicula","27_7_B","FR",0.719,"NULL"
2021,105814,"Scyliorhinus canicula","Scyliorhinus canicula","27_7_D","FR",1318.03,"NULL"
2021,105814,"Scyliorhinus canicula","Scyliorhinus canicula","27_7_E","FR",926.343,"NULL"
2021,105814,"Scyliorhinus canicula","Scyliorhinus canicula","27_7_F","FR",37.519,"NULL"
2021,105814,"Scyliorhinus canicula","Scyliorhinus canicula","27_7_G","FR",111.946,"NULL"
2021,105814,"Scyliorhinus canicula","Scyliorhinus canicula","27_7_H","FR",219.846,"NULL"
2021,105814,"Scyliorhinus canicula","Scyliorhinus canicula","27_7_J_2","FR",4.954,"NULL"
2021,105814,"Scyliorhinus canicula","Scyliorhinus canicula","27_7_K_2","FR",0.001,"NULL"
2021,105814,"Scyliorhinus canicula","Scyliorhinus canicula","27_8_A","FR",473.601,"NULL"
2021,105814,"Scyliorhinus canicula","Scyliorhinus canicula","27_8_B","FR",24.884,"NULL"
2021,105814,"Scyliorhinus canicula","Scyliorhinus canicula","27_8_C","FR",0.009,"NULL"
2021,105814,"Scyliorhinus canicula","Scyliorhinus canicula","27_8_D_2","FR",0.971,"NULL"
2021,105820,"Galeorhinus galeus","Galeorhinus galeus","27_4_B","FR",0.08,"NULL"
2021,105820,"Galeorhinus galeus","Galeorhinus galeus","27_4_C","FR",2.6,"NULL"
2021,105820,"Galeorhinus galeus","Galeorhinus galeus","27_6_A","FR",0.1,"NULL"
2021,105820,"Galeorhinus galeus","Galeorhinus galeus","27_7_A","FR",0.001,"NULL"
2021,105820,"Galeorhinus galeus","Galeorhinus galeus","27_7_B","FR",0.065,"NULL"
2021,105820,"Galeorhinus galeus","Galeorhinus galeus","27_7_C_2","FR",0.004,"NULL"
2021,105820,"Galeorhinus galeus","Galeorhinus galeus","27_7_D","FR",44.191,"NULL"
2021,105820,"Galeorhinus galeus","Galeorhinus galeus","27_7_E","FR",126.734,"NULL"
2021,105820,"Galeorhinus galeus","Galeorhinus galeus","27_7_F","FR",12.701,"NULL"
2021,105820,"Galeorhinus galeus","Galeorhinus galeus","27_7_G","FR",7.237,"NULL"
2021,105820,"Galeorhinus galeus","Galeorhinus galeus","27_7_H","FR",74.123,"NULL"
2021,105820,"Galeorhinus galeus","Galeorhinus galeus","27_7_J_2","FR",1.136,"NULL"
2021,105820,"Galeorhinus galeus","Galeorhinus galeus","27_7_K_2","FR",0.007,"NULL"
2021,105820,"Galeorhinus galeus","Galeorhinus galeus","27_8_A","FR",68.435,"NULL"
2021,105820,"Galeorhinus galeus","Galeorhinus galeus","27_8_B","FR",7.649,"NULL"
2021,105820,"Galeorhinus galeus","Galeorhinus galeus","27_8_C","FR",0.015,"NULL"
